data_ora,numero_transazioni,tempo_medio,numero_retry,numero_transazioni_errate,is_anomaly
2024-05-31 07:01:11,366,25.907562,0,90,0
2024-05-31 07:02:11,948,18.181719,0,90,0
2024-05-31 07:03:11,1273,18.813356,0,90,0
2024-05-31 07:04:11,1538,16.607435,0,90,0
2024-05-31 07:05:11,703,16.645409,0,90,0
2024-05-31 07:06:11,609,15.039655,0,90,0
2024-05-31 07:07:11,390,14.408332,0,89,0
2024-05-31 07:08:12,371,13.131965,0,90,0
2024-05-31 07:09:12,320,12.670101,0,90,0
2024-05-31 07:10:12,316,14.045296,0,90,0
2024-05-31 07:11:12,505,14.412632,0,90,0
2024-05-31 07:12:12,302,13.613971,0,90,0
2024-05-31 07:13:12,318,12.349485,0,90,0
2024-05-31 07:14:12,295,11.81203,0,89,0
2024-05-31 07:15:12,223,13.300518,0,90,0
2024-05-31 07:16:12,271,12.788382,0,86,0
2024-05-31 07:17:12,204,12.331429,0,90,0
2024-05-31 07:18:12,246,10.764978,0,90,0
2024-05-31 07:19:12,231,11.875621,0,91,0
2024-05-31 07:20:12,240,11.471429,0,91,0
2024-05-31 07:21:12,231,12.4207945,0,90,0
2024-05-31 07:22:12,254,12.248889,0,90,0
2024-05-31 07:23:12,255,11.062223,0,90,0
2024-05-31 07:24:12,274,12.614752,0,91,0
2024-05-31 07:25:12,248,11.721461,0,90,0
2024-05-31 07:26:12,277,12.197581,0,90,0
2024-05-31 07:27:12,261,11.112557,0,90,0
2024-05-31 07:28:12,307,11.613716,0,91,0
2024-05-31 07:29:12,276,11.704454,0,90,0
2024-05-31 07:30:13,296,12.168541,0,91,0
2024-05-31 07:31:13,393,13.35813,0,90,0
2024-05-31 07:32:13,275,11.261225,0,94,0
2024-05-31 07:33:13,304,10.996363,0,92,0
2024-05-31 07:34:13,320,10.793815,0,93,0
2024-05-31 07:35:13,284,11.523624,0,90,0
2024-05-31 07:36:13,320,12.258617,0,90,0
2024-05-31 07:37:13,353,10.925924,0,90,0
2024-05-31 07:38:13,300,10.767528,0,92,0
2024-05-31 07:39:13,314,11.221832,0,90,0
2024-05-31 07:40:13,350,12.403127,0,91,0
2024-05-31 07:41:13,288,11.474901,0,87,0
2024-05-31 07:42:13,307,10.550362,0,94,0
2024-05-31 07:43:13,316,11.667834,0,90,0
2024-05-31 07:44:13,294,9.844701,0,99,0
2024-05-31 07:45:13,623,16.348488,0,90,0
2024-05-31 07:46:13,545,16.980612,0,91,0
2024-05-31 07:47:13,324,11.105444,0,96,0
2024-05-31 07:48:13,348,10.839625,0,91,0
2024-05-31 07:49:13,327,10.76175,0,97,0
2024-05-31 07:50:13,325,11.952702,0,90,0
2024-05-31 07:51:13,340,11.822578,0,91,0
2024-05-31 07:52:14,383,10.439092,0,93,0
2024-05-31 07:53:14,313,10.728872,0,95,0
2024-05-31 07:54:14,339,10.925807,0,90,0
2024-05-31 07:55:14,339,12.038836,0,92,0
2024-05-31 07:56:14,351,11.451718,0,90,0
2024-05-31 07:57:14,335,10.192809,0,91,0
2024-05-31 07:58:14,358,11.045592,0,91,0
2024-05-31 07:59:14,286,11.472656,0,92,0
2024-05-31 08:00:14,374,13.279068,0,90,0
2024-05-31 08:01:14,387,11.606145,0,90,0
2024-05-31 08:02:14,570,12.909427,0,92,0
2024-05-31 08:03:14,782,13.3071785,0,92,0
2024-05-31 08:04:14,423,10.793891,0,90,0
2024-05-31 08:05:14,396,11.964577,0,89,0
2024-05-31 08:06:14,376,12.115276,0,88,0
2024-05-31 08:07:14,360,11.093941,0,92,0
2024-05-31 08:08:14,346,10.611987,0,106,0
2024-05-31 08:09:14,456,11.826698,0,108,0
2024-05-31 08:10:14,435,12.120988,0,91,0
2024-05-31 08:11:14,334,12.578948,0,100,0
2024-05-31 08:12:14,465,10.974772,0,105,0
2024-05-31 08:13:14,362,10.552553,0,91,0
2024-05-31 08:14:14,397,11.177112,0,98,0
2024-05-31 08:15:14,386,12.264048,0,92,0
2024-05-31 08:16:15,469,11.711364,0,105,0
2024-05-31 08:17:15,353,10.635804,0,92,0
2024-05-31 08:18:15,432,10.355721,0,93,0
2024-05-31 08:19:15,422,11.48724,0,98,0
2024-05-31 08:20:15,439,11.992682,0,107,0
2024-05-31 08:21:15,366,11.498513,0,95,0
2024-05-31 08:22:15,440,10.941461,0,91,0
2024-05-31 08:23:15,368,10.994082,0,95,0
2024-05-31 08:24:15,509,11.425,0,139,0
2024-05-31 08:25:15,450,11.662705,0,89,0
2024-05-31 08:26:15,418,11.613402,0,97,0
2024-05-31 08:27:15,419,11.740362,0,98,0
2024-05-31 08:28:15,451,11.357822,0,137,0
2024-05-31 08:29:15,420,11.184139,0,93,0
2024-05-31 08:30:15,500,12.468085,0,91,0
2024-05-31 08:31:15,495,12.522584,0,92,0
2024-05-31 08:32:15,489,11.980432,0,137,0
2024-05-31 08:33:15,423,11.015233,0,95,0
2024-05-31 08:34:15,476,10.96189,0,90,0
2024-05-31 08:35:15,423,12.452924,0,93,0
2024-05-31 08:36:15,538,11.161098,0,133,0
2024-05-31 08:37:15,484,10.720881,0,99,0
2024-05-31 08:38:15,419,10.47815,0,92,0
2024-05-31 08:39:15,491,10.663772,0,96,0
2024-05-31 08:40:16,561,11.67481,0,118,0
2024-05-31 08:41:16,437,11.892155,0,98,0
2024-05-31 08:42:16,607,10.6239195,0,97,0
2024-05-31 08:43:16,437,10.47304,0,95,0
2024-05-31 08:44:16,524,10.286864,0,112,0
2024-05-31 08:45:16,545,11.786409,0,109,0
2024-05-31 08:46:16,548,11.326251,0,96,0
2024-05-31 08:47:16,446,10.757795,0,91,0
2024-05-31 08:48:16,544,10.398058,0,94,0
2024-05-31 08:49:16,569,11.7346945,0,130,0
2024-05-31 08:50:16,455,11.934116,0,89,0
2024-05-31 08:51:16,489,11.406522,0,102,0
2024-05-31 08:52:16,572,11.265192,0,124,0
2024-05-31 08:53:16,435,11.251852,0,111,0
2024-05-31 08:54:16,601,10.3923,0,95,0
2024-05-31 08:55:16,529,11.504001,0,89,0
2024-05-31 08:56:16,545,11.343023,0,148,0
2024-05-31 08:57:16,571,11.025877,0,99,0
2024-05-31 08:58:16,500,9.87447,0,92,0
2024-05-31 08:59:16,564,11.192527,9,94,0
2024-05-31 09:00:16,694,11.339851,0,139,0
2024-05-31 09:01:16,577,11.358318,0,92,0
2024-05-31 09:02:16,734,11.319596,0,103,0
2024-05-31 09:03:16,646,11.593193,0,93,0
2024-05-31 09:04:17,739,11.135209,0,149,0
2024-05-31 09:05:17,661,10.793979,0,91,0
2024-05-31 09:06:17,683,11.77488,0,103,0
2024-05-31 09:07:17,598,11.483305,0,97,0
2024-05-31 09:08:17,738,10.249647,0,108,0
2024-05-31 09:09:17,754,10.640882,0,97,0
2024-05-31 09:10:17,634,10.899008,0,91,0
2024-05-31 09:11:17,616,10.744465,0,102,0
2024-05-31 09:12:17,813,10.797196,0,138,0
2024-05-31 09:13:17,689,10.681335,0,92,0
2024-05-31 09:14:17,722,10.619943,0,96,0
2024-05-31 09:15:17,720,11.250356,0,92,0
2024-05-31 09:16:17,710,11.170338,0,152,0
2024-05-31 09:17:17,781,11.019979,0,107,0
2024-05-31 09:18:17,767,10.241514,0,125,0
2024-05-31 09:19:17,691,11.072502,0,108,0
2024-05-31 09:20:17,836,10.25774,0,120,0
2024-05-31 09:21:17,702,11.114583,0,95,0
2024-05-31 09:22:17,734,11.177304,0,98,0
2024-05-31 09:23:17,727,10.617477,0,99,0
2024-05-31 09:24:17,942,10.696274,0,134,0
2024-05-31 09:25:17,704,11.219581,0,94,0
2024-05-31 09:26:17,736,10.943419,0,125,0
2024-05-31 09:27:17,829,10.986258,0,103,0
2024-05-31 09:28:18,761,10.549935,0,117,0
2024-05-31 09:29:18,886,11.153039,0,110,0
2024-05-31 09:30:18,889,10.99884,0,95,0
2024-05-31 09:31:18,753,11.977903,0,96,0
2024-05-31 09:32:18,970,11.752129,0,148,0
2024-05-31 09:33:18,875,10.71835,0,103,0
2024-05-31 09:34:18,869,11.19643,0,132,0
2024-05-31 09:35:18,902,11.396331,0,99,0
2024-05-31 09:36:18,912,11.284581,0,125,0
2024-05-31 09:37:18,803,11.3544655,0,115,0
2024-05-31 09:38:18,949,10.555437,0,99,0
2024-05-31 09:39:18,998,10.5407715,0,103,0
2024-05-31 09:40:18,961,11.351231,0,158,0
2024-05-31 09:41:18,881,11.33372,0,100,0
2024-05-31 09:42:18,1056,10.971765,0,144,0
2024-05-31 09:43:18,867,10.362777,0,102,0
2024-05-31 09:44:18,1136,11.1202545,0,157,0
2024-05-31 09:45:18,995,11.675652,0,130,0
2024-05-31 09:46:18,959,11.811824,0,110,0
2024-05-31 09:47:18,1045,10.768695,0,117,0
2024-05-31 09:48:18,1129,10.786163,0,164,0
2024-05-31 09:49:18,986,11.288703,0,134,0
2024-05-31 09:50:18,1083,11.316888,0,171,0
2024-05-31 09:51:18,993,10.919087,0,121,0
2024-05-31 09:52:19,995,11.735751,0,145,0
2024-05-31 09:53:19,1142,11.5009,0,172,0
2024-05-31 09:54:19,1187,11.746335,0,127,0
2024-05-31 09:55:19,1049,11.6594715,0,115,0
2024-05-31 09:56:19,1060,11.24466,0,156,0
2024-05-31 09:57:19,1055,11.077974,0,117,0
2024-05-31 09:58:19,1150,10.619086,0,139,0
2024-05-31 09:59:19,1213,11.1174965,0,106,0
2024-05-31 10:00:19,1285,11.007974,0,150,0
2024-05-31 10:01:19,957,11.27694,0,108,0
2024-05-31 10:02:19,1287,11.223369,0,118,0
2024-05-31 10:03:19,1479,11.357488,0,134,0
2024-05-31 10:04:19,1388,11.899123,0,136,0
2024-05-31 10:05:19,1434,11.299642,0,114,0
2024-05-31 10:06:19,1292,11.29058,0,161,0
2024-05-31 10:07:19,1267,10.484234,0,133,0
2024-05-31 10:08:19,1667,10.960296,0,141,0
2024-05-31 10:09:19,1563,11.4980545,0,131,0
2024-05-31 10:10:19,1506,11.136092,0,99,0
2024-05-31 10:11:19,1436,11.1017065,0,125,0
2024-05-31 10:12:19,1577,11.200396,0,160,0
2024-05-31 10:13:19,1553,11.590553,0,133,0
2024-05-31 10:14:19,1700,11.649315,0,177,0
2024-05-31 10:15:19,1700,11.267662,0,115,0
2024-05-31 10:16:20,1507,11.206349,0,149,0
2024-05-31 10:17:20,1601,11.386131,0,134,0
2024-05-31 10:18:20,1795,10.897452,0,113,0
2024-05-31 10:19:20,1737,11.755714,0,136,0
2024-05-31 10:20:20,1744,11.09096,0,168,0
2024-05-31 10:21:20,1435,11.595308,0,108,0
2024-05-31 10:22:20,1619,11.037772,0,167,0
2024-05-31 10:23:20,1789,11.032969,0,114,0
2024-05-31 10:24:20,1969,11.507224,0,158,0
2024-05-31 10:25:20,1657,11.1240835,0,109,0
2024-05-31 10:26:20,1552,11.355458,0,115,0
2024-05-31 10:27:20,1670,11.055486,0,143,0
2024-05-31 10:28:20,1947,11.68352,0,166,0
2024-05-31 10:29:20,1951,11.389704,0,114,0
2024-05-31 10:30:20,1968,11.839525,0,158,0
2024-05-31 10:31:20,1598,11.336095,0,114,0
2024-05-31 10:32:20,2187,11.88044,0,181,0
2024-05-31 10:33:20,2043,11.074977,0,118,0
2024-05-31 10:34:20,1844,10.913455,0,126,0
2024-05-31 10:35:20,2049,11.125811,0,145,0
2024-05-31 10:36:20,1786,10.889015,0,159,0
2024-05-31 10:37:20,1984,10.626602,0,178,0
2024-05-31 10:38:20,2307,10.960043,0,227,0
2024-05-31 10:39:20,2194,10.761195,0,202,0
2024-05-31 10:40:20,2040,10.590254,0,221,0
2024-05-31 10:41:21,1753,10.733602,0,165,0
2024-05-31 10:42:21,2069,10.917607,0,136,0
2024-05-31 10:43:21,2219,10.950688,0,123,0
2024-05-31 10:44:21,2359,10.98154,0,176,0
2024-05-31 10:45:21,2083,10.988799,0,116,0
2024-05-31 10:46:21,1901,11.262433,0,176,0
2024-05-31 10:47:21,2102,11.145203,0,150,0
2024-05-31 10:48:21,2458,11.111567,0,149,0
2024-05-31 10:49:21,2145,11.327189,0,122,0
2024-05-31 10:50:21,2147,10.862067,0,119,0
2024-05-31 10:51:21,1913,10.988327,0,154,0
2024-05-31 10:52:21,2114,11.082505,0,128,0
2024-05-31 10:53:21,2492,11.015024,0,144,0
2024-05-31 10:54:21,2372,11.527316,0,188,0
2024-05-31 10:55:21,2241,10.866643,0,115,0
2024-05-31 10:56:21,2080,11.278888,0,153,0
2024-05-31 10:57:21,2223,10.689465,0,164,0
2024-05-31 10:58:21,2424,11.12907,0,123,0
2024-05-31 10:59:21,2504,11.1305065,0,133,0
2024-05-31 11:00:21,2344,10.944275,0,187,0
2024-05-31 11:01:21,1920,11.459253,0,126,0
2024-05-31 11:02:21,2299,11.300876,0,217,0
2024-05-31 11:03:21,2659,11.401137,0,111,0
2024-05-31 11:04:21,2232,11.143509,0,123,0
2024-05-31 11:05:22,2382,11.196423,0,132,0
2024-05-31 11:06:22,2105,11.221575,0,124,0
2024-05-31 11:07:22,2281,11.091921,0,161,0
2024-05-31 11:08:22,2844,11.00996,0,167,0
2024-05-31 11:09:22,2530,11.075996,0,119,0
2024-05-31 11:10:22,2328,12.804257,0,185,0
2024-05-31 11:11:22,2097,12.461316,0,117,0
2024-05-31 11:12:22,2570,12.589367,0,164,0
2024-05-31 11:13:22,2778,12.236534,0,120,0
2024-05-31 11:14:22,2603,12.233107,0,105,0
2024-05-31 11:15:22,2280,13.28076,0,145,0
2024-05-31 11:16:22,2179,14.959512,0,129,0
2024-05-31 11:17:22,2666,22.631754,0,173,0
2024-05-31 11:18:22,2931,12.559265,0,168,0
2024-05-31 11:19:22,2565,13.4516735,0,125,0
2024-05-31 11:20:22,2674,13.11687,0,204,0
